"Wechat SSO failed.","微信登陆失败."
"Your Wechat account has been successfully connected. Now you can fast login using Wechat Account anytime.","你的微信账号已经连接成功.现在你可以使用微信账号任意时间登陆."
"Service temporarily unavailable.","服务暂时不可用."
"Email address is required.","Email地址是必填滴."
"Thank you for registering with %s","感谢您的使用 %s"
"You will receive welcome email with registration info in a moment.","呆会你会收到注册信息邮件."
"Facebook profile can't provide all required info, please register and then connect with Facebook for fast login.","Facebook注册信息不全(必要的),请先登陆Facebook填写完整.然后再登陆."
"Connect with Wechat","使用微信登陆"
"Wechat Connect","微信连接"
"Wechat Users","微信用户"
"Use your Wechat account to login or register within our store. You're just one click away.","使用您的微信账号信息快速登陆我们的商店. 你需要点一下."
"Wechat SSO Options","微信单点登录选项"
"Enabled","激活"
"AppId","AppId"
"AppSecret","AppSecret"
"Locale","本地"